,intent,text,new
682,inform,में इस व्यवसाय में पार्टनरशिप में हूँ,I am in partnership in this business
683,inform,मेरा व्यवसाय पब्लिक है,My business is public
684,inform,हमारा व्यवसाय प्रोप्रिएटरी है,Our business is proprietary
685,inform,हमारा व्यवसाय पार्टनरशिप है,Our business is partnership
686,inform,हमारा व्यवसाय पब्लिक है,Our business is public
687,inform,पार्टनरशिप में है,Is in partnership
688,inform,मेरा व्यसाय पहले प्राइवेट था अब पार्टनरशिप में है,"My business was previously private, now in partnership"
689,inform,कमपनी में मेरी हिस्सेदारी दस परसेंट है,My share in the company is ten percent
690,inform,मेरी दस परसेंट हिस्सेदारी है इस बिसनेस में,I have ten percent stake in this business
691,inform,में इस बिसनेस में बीस परसेंट हिस्सेदारी में हूँ,I am in a twenty percent stake in this business
692,inform,कमपनी में मेरी हिस्सेदारी 15% है,My stake in the company is 15%
693,inform,मेरी 25% हिस्सेदारी है इस बिसनेस में,I have a 25% stake in this business
694,inform,में इस बिसनेस में 20% हिस्सेदारी में हूँ,I am in 20% stake in this business
695,inform,हाँ मेरी कंपनी शेयर मार्केट में लिस्टेड है,Yes my company is listed on the stock market
696,inform,मेरी कंपनी शेयर मार्केट में लिस्टेड नहीं है,My company is not listed on the stock market
697,inform,मेरी कंपनी शेयर मार्केट में लिस्टेड है,My company is listed on the stock market
698,inform,हमारी कंपनी शेयर मार्केट में लिस्टेड है,Our company is listed on the stock market
699,inform,बॉम्बे स्टॉक एक्सचेंज में लिस्टेड है,Listed on Bombay Stock Exchange
700,inform,हमारी कंपनी मद्रास स्टॉक एक्सचेंज में लिस्टेड है,Our company is listed on the Madras Stock Exchange
701,inform,नहीं किसी भी शेयर मार्केट में लिस्टेड नहीं है,"No, not listed in any stock market"
702,inform,मेरी कंपनी नेशनल स्टॉक एक्सचेंज में लिस्टेड है,My company is listed on the National Stock Exchange
703,inform,मुझे इस व्यवस्या में पंद्रह साल हो गए है,It's been fifteen years for me
704,inform,में दस साल से यह बिज़नेस कर रहा हु,I have been doing this business for ten years
705,inform,मुझे हो गए है चार साल,I have been four years
706,inform,में लगभग छे साल से इस बिनेस्स में हु,I have been in this business for almost six years
707,inform,मुझे इस व्यवसाय में करीब करीब सात साल हो गए है,I have been in this business for almost seven years
708,inform,मेरा उद्योग प्रकार सूचि में नहीं है,My industry type is not listed
709,inform,हमारा गरमेंट का बिसनेस है,Our business is business
710,inform,में कांट्रेक्टर का काम करता हु,I work as a contractor
711,inform,में  गारमेंट्स का काम करता हु,I work in garments
712,inform,मेरा उद्योग प्रकार केमिकल है,My industry type is chemical
713,inform,उद्योग प्रकार होटल है,Industry Type is Hotel
714,inform,मेरा फुटवियर का बिसनेस है,I wear footwear
715,inform,मेरा उद्योग प्रकार कांट्रेक्टर है,My industry type is a contractor
716,inform,हमारा टेक्सटाइल का व्यापर है,We have a textile business
717,inform,मेरा उद्योग प्रकार फार्मा है,My industry type is Pharma
718,inform,मेरा फ़ूड  प्रोसेसिंग  का उद्योग है,Mine is food processing industry
719,inform,मेरा उद्योग प्रकार इम्पोर्ट एक्सपोर्ट है,My industry type is import export
720,inform,मेरा उद्योग प्रकार रियल एस्टेट है,My Industry Type is Real Estate
721,inform,में सिविल वाले कॉन्ट्रैक्ट उठाता  हु,I pick up a civil contract
722,inform,में मैकेनिकल से सम्बंधित कॉन्ट्रैक्ट उठता हु,I get a mechanical contract
723,inform,इलेक्ट्रिकल वाले कॉन्ट्रैक्ट्स उठाते है,Pick up electrical contracts
724,inform,हम प्लंबिंग वाले कॉन्ट्रैक्ट्स लेते है,We take plumbing contracts
725,inform,हम सिविल के साथ साथ मैकेनिकल वाले कॉन्ट्रैक्ट्स भी लेते है,We also undertake civil as well as mechanical contracts.
726,inform,इलेक्ट्रिकल और प्लंबिंग वाले कॉन्ट्रैक्ट्स उठाते है,Picks up electrical and plumbing contracts
727,inform,हम कैटरीन के कॉन्टेक्ट्स उठाते है,We pick up Katrin's contacts
728,inform,हम किसी भी प्रकार का कॉन्ट्रैक्ट उठाते है,We undertake any type of contract
729,inform,सभी प्रकार के कॉन्ट्रैक्ट उठाते है,Picks up all types of contracts
730,inform,मेरी प्रोफाइल गवर्नमेंट है,My profile is government
731,inform,मेरी कांट्रेक्टर प्रोफाइल सेमी गवर्नमेंट है,My contractor profile is semi government
732,inform,प्रोफाइल प्राइवेट है,Profile is private
733,inform,मेरी  सबकॉन्ट्रैक्टर की प्रोफाइल है,My subcontractor profile is
734,inform,मेरी प्रोफाइल यहाँ नहीं दी गयी है,My profile is not given here
735,inform,मेरी कांट्रेक्टर प्रोफाइल का पता नहीं,My contractor profile is not known
736,inform,मेरा बिसनेस डी सी जी ऐ से  एप्रूव्ड है,My business is approved by DCGA
737,inform,हमारा बिसनेस एफ एस एस आई से एप्रूव्ड है,Our business is approved by FSI
738,inform,हाँ आई आर डी ऐ से सर्टिफाइड है,Yes irda certified
739,inform,मेरा बिनेस्स सर्टिफाइड है,My business is certified
740,inform,हाँ मेरा बिसनेस आर्गेनाइजेशन से एप्रूव्ड है,Yes my business is approved by the organization
741,inform,किस आर्गेनाइजेशन से एप्रूव्ड है मुझे याद नहीं,I don't remember which organization is approved
742,inform,मेरा बिनेस्स किसी भी आर्गेनाइजेशन से एप्रूव्ड नहीं है और न ही सर्टिफाइड है,"My business is not approved by any organization, nor is it certified"
743,inform,हाँ मेरे पास कंट्राक्टरशिप का लइसेंस है,Yes i have the license of the contractors
744,inform,मेरा कोन्त्रक्टोरशिप का लइसेंस अभी नहीं है,My contractor's license is not there yet
745,inform,मुझे कोन्त्रक्टोरशिप का लइसेंस बनवाना है,I want to get a contract license
746,inform,मेरे पास क्लास  ऐऐ  लाइसेंस है,I have class aa license
747,inform,क्लास सी का लइसेंस है मेरे पास,I have class C license
748,inform,हाँ मेरे पास क्लास बी का लइसेंस है,Yes i have class b license
749,inform,हम इनहॉउस मैन्युफैक्चरिंग का व्यापर करते है,We trade inhouse manufacturing.
750,inform,हाँ मैन्युफैक्चरिंग इनहॉउस ही  है,Yes manufacturing inhouse
751,inform,में ट्रेडिंग का व्यापर करता हु,I trade in
752,inform,मैंने मैन्युफैक्चरिंग कही आउटसोर्स नहीं की है,I have not outsourced manufacturing
753,inform,हम कच्चा माल खुद हे बनाते है,We make raw materials ourselves
754,inform,कच्चा माल हम अलग अलग जगह से लेते है,We take raw materials from different places
755,inform,हम अलग अलग व्होलसेलर्स से कच्चा माल लेते है,We take raw materials from different whosellers.
756,inform,में कच्चा माल अमेज़न से लेता हु,I take raw material from amazon
757,inform,सुप्लायर्स के साथ मेरी एक महीने की पेमेंट शर्त है,I have one month payment condition with suppliers
758,inform,में दो महीने की पेमेंट शर्त रखता  हूँ,I have a payment condition of two months
759,inform,हमारी पेमेंट शर्त तीस दिन की है,Our payment condition is 30 days
760,inform,हम नब्भे दिन की पेमेंट शर्त पे काम करते है,We work on the payment terms of the ninth day
761,inform,मेरी और सप्लायर की तीस दिन की पेमेंट शर्त है,I and the supplier have a 30-day payment condition
762,inform,हमारी पेमेंट शर्त 30 दिन की है,Our payment condition is 30 days
763,inform,हम 90 दिन की पेमेंट शर्त पे काम करते है,We work on a 90-day payment condition
764,inform,मेरी और सप्लायर की 30 दिन की पेमेंट शर्त है,My and supplier have a 30-day payment condition
765,inform,हम पेमेंट हाथो हाथ लेते है,We take payment
766,inform,मेरा बिन्सेस सीजनल नहीं है,My business is not seasonal
767,inform,हाँ मेरा व्यवसाय सीजनल है,Yes my business is seasonal
768,inform,मेरा व्यवसाय गर्मियों में ज्यादा चलता है और बाकि सीजन में थोड़ा कम होता है,My business runs more in the summer and slightly less in the rest of the season.
769,inform,तीन लाख की मासिक बिक्री है,Monthly sales of three million
770,inform,हमारी मासिक बिक्री डेढ़ लाख है,Our monthly sales are one and a half million
771,inform,हमारी लगभग चार लाख की मासिक बिक्री होती है,We have monthly sales of about four lakhs
772,inform,300000 की मासिक बिक्री है,Monthly sales of 300000
773,inform,"हमारी मासिक बिक्री 150,000 लाख है","Our monthly sales are 150,000 millions"
774,inform,हमारी लगभग 600000 की मासिक बिक्री होती है,We have monthly sales of about 600000
775,inform,वन थाउजेंड,One thousand
776,inform,थाउजेंड,thousand
777,deny,no,no
778,deny,No,No
779,deny,nah,nah
780,deny,Nope,Nope
781,deny,noi,noi
782,deny,no,no
783,deny,noi,noi
784,deny,nope,nope
785,deny,nahh,nahh
786,deny,nana,nana
787,deny,no,no
788,deny,nahi,nahi
789,deny,ji nahin,ji nahin
790,deny,jii nahi,jii nahi
791,deny,naa,naa
792,deny,नौ,Nine
793,deny,नहीं,No
794,deny,जी नहीं,"No, yes"
795,deny,ना,No
796,prop,proprietership,proprietership
797,prop,proprity,proprity
798,prop,i am proprieter,i am proprieter
799,prop,its proprietership,its proprietership
800,prop,prop,prop
801,prop,properteship,properteship
802,prop,propertiship,propertiship
803,prop,propreitership,propreitership
804,prop,its properteship,its properteship
805,prop,it is propertiship,it is propertiship
806,prop,it is propreitership,it is propreitership
807,prop,its properiteship,its properiteship
808,prop,प्रोपराइटरशिप,Proprietorship
809,prop,प्रोपराइटरी,Proprietary
810,prop,प्रोप,Prop
811,private,private,private
812,private,it's private,it's private
813,private,private,private
814,private,pvt,pvt
815,private,it is private,it is private
816,private,private,private
817,private,its private ltd,its private ltd
818,private,प्रायवेट लिमिटेड,Private Limited
819,private,प्रायवेट,Private
820,public,its public,its public
821,public,public,public
822,public,public,public
823,public,public,public
824,public,it is public,it is public
825,public,pub,pub
826,public,publik,publik
827,public,public ltd,public ltd
828,public,public,public
829,public,पब्लिक,Public
830,public,पब्लिक लिमिटेड,Public Limited
831,partnership,its partnership,its partnership
832,partnership,partnership,partnership
833,partnership,partnership,partnership
834,partnership,partnership,partnership
835,partnership,partner,partner
836,partnership,patner,patner
837,partnership,pship,pship
838,partnership,p'ship,p'ship
839,partnership,partnerr,partnerr
840,partnership,partnership,partnership
841,partnership,patnershi,patnershi
842,partnership,its partnership,its partnership
843,partnership,पार्टनर,The partner
844,partnership,पार्टनरशिप,partnership
845,partnership,पार्टनरी,Partnery
846,manufacturing,manufacturing,manufacturing
847,manufacturing,manu,manu
848,manufacturing,mnufctr,mnufctr
849,manufacturing,manufacturing,manufacturing
850,manufacturing,manufacturing,manufacturing
851,manufacturing,मैन्युफैक्चरिंग,Manufacturing
852,manufacturing,मैन्युफैक्चरर,Manufacturer
853,manufacturing,मैन्युफैक्चर,Manufacture
854,trader,trader,trader
855,trader,retail,retail
856,trader,wholesale,wholesale
857,trader,retail and wholesale,retail and wholesale
858,trader,shop,shop
859,trader,shopkeeper,shopkeeper
860,trader,dukaan,dukaan
861,trader,showroom,showroom
862,trader,ट्रेडर,Trader
863,trader,रीटेल,Retail
864,trader,रिटेलर,Retailer
865,trader,शोरूम,The showroom
866,trader,शॉप,Shop
867,trader,दुकान,shop
868,trader,थोक विक्रेता,Wholesaler
869,SP,service,service
870,SP,service provider,service provider
871,SP,service based,service based
872,SP,job,job
873,SP,handicraft,handicraft
874,SP,job work,job work
875,SP,sp,sp
876,SP,SP,SP
877,SP,सर्विस,Service
878,SP,सर्विस प्रोवाइडर,Service provider
879,SP,जॉब वर्क,Job work
880,SP,हैंडीक्राफ्ट,handicraft
881,SP,हैंडलूम,handloom
882,SP,एस पी,SP
883,repeat,what,what
884,repeat,what?,what?
885,repeat,repeat,repeat
886,repeat,repeat please,repeat please
887,repeat,i did not understand,i did not understand
888,repeat,what?,what?
889,repeat,whatt??,whatt??
890,repeat,i didnt get it,i didnt get it
891,repeat,क्या,what
892,repeat,क्या,what
893,repeat,फिर से पूछो,ask again
894,fmcg,fmcg,fmcg
895,fmcg,fmcg,fmcg
896,fmcg,FMCG,FMCG
897,fmcg,एफएमसीजी,FMCG
898,fmcg,एफ एम सी जी,Fmcg
899,garments,garments,garments
900,garments,gaments,gaments
901,garments,clothes,clothes
902,garments,गारमेंट्स,Garments
903,garments,क्लॉथ,Cloth
904,garments,कपड़ा,The cloth
905,footwear,footwear,footwear
906,footwear,foowear,foowear
907,footwear,shoes,shoes
908,footwear,फुटवेयर,Footwear
909,footwear,जूते,The shoes
910,footwear,शूज़,Shoes
911,chemicals,chemicals,chemicals
912,chemicals,chemic,chemic
913,chemicals,chemical,chemical
914,chemicals,केमिकल,Chemical
915,chemicals,केमिकल,केमिकल
